[2024-05-18T14:59:03.953+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: our_first_dag_v2.wget manual__2024-05-18T14:59:02.352666+00:00 [queued]>
[2024-05-18T14:59:03.961+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: our_first_dag_v2.wget manual__2024-05-18T14:59:02.352666+00:00 [queued]>
[2024-05-18T14:59:03.961+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 11
[2024-05-18T14:59:03.977+0000] {taskinstance.py:2191} INFO - Executing <Task(BashOperator): wget> on 2024-05-18 14:59:02.352666+00:00
[2024-05-18T14:59:03.985+0000] {standard_task_runner.py:60} INFO - Started process 1880 to run task
[2024-05-18T14:59:03.988+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'our_first_dag_v2', 'wget', 'manual__2024-05-18T14:59:02.352666+00:00', '--job-id', '334', '--raw', '--subdir', 'DAGS_FOLDER/frist-dag.py', '--cfg-path', '/tmp/tmpzwirgc3f']
[2024-05-18T14:59:03.990+0000] {standard_task_runner.py:88} INFO - Job 334: Subtask wget
[2024-05-18T14:59:04.032+0000] {task_command.py:423} INFO - Running <TaskInstance: our_first_dag_v2.wget manual__2024-05-18T14:59:02.352666+00:00 [running]> on host 7b23a6949395
[2024-05-18T14:59:04.107+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='omar' AIRFLOW_CTX_DAG_ID='our_first_dag_v2' AIRFLOW_CTX_TASK_ID='wget' AIRFLOW_CTX_EXECUTION_DATE='2024-05-18T14:59:02.352666+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-05-18T14:59:02.352666+00:00'
[2024-05-18T14:59:04.109+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-05-18T14:59:04.110+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'curl https://d37ci6vzurychx.cloudfront.net/misc/taxi_zone_lookup.csv']
[2024-05-18T14:59:04.128+0000] {subprocess.py:86} INFO - Output:
[2024-05-18T14:59:04.138+0000] {subprocess.py:93} INFO -   % Total    % Received % Xferd  Average Speed   Time    Time     Time  Current
[2024-05-18T14:59:04.139+0000] {subprocess.py:93} INFO -                                  Dload  Upload   Total   Spent    Left  Speed
[2024-05-18T14:59:04.437+0000] {subprocess.py:93} INFO -   0     0    0     0    0     0      0      0 --:--:-- --:--:-- --:--:--     0  0     0    0     0    0     0      0      0 --:--:-- --:--:-- --:--:--     0"LocationID","Borough","Zone","service_zone"
[2024-05-18T14:59:04.438+0000] {subprocess.py:93} INFO - 1,"EWR","Newark Airport","EWR"
[2024-05-18T14:59:04.438+0000] {subprocess.py:93} INFO - 2,"Queens","Jamaica Bay","Boro Zone"
[2024-05-18T14:59:04.439+0000] {subprocess.py:93} INFO - 3,"Bronx","Allerton/Pelham Gardens","Boro Zone"
[2024-05-18T14:59:04.439+0000] {subprocess.py:93} INFO - 4,"Manhattan","Alphabet City","Yellow Zone"
[2024-05-18T14:59:04.439+0000] {subprocess.py:93} INFO - 5,"Staten Island","Arden Heights","Boro Zone"
[2024-05-18T14:59:04.439+0000] {subprocess.py:93} INFO - 6,"Staten Island","Arrochar/Fort Wadsworth","Boro Zone"
[2024-05-18T14:59:04.440+0000] {subprocess.py:93} INFO - 7,"Queens","Astoria","Boro Zone"
[2024-05-18T14:59:04.440+0000] {subprocess.py:93} INFO - 8,"Queens","Astoria Park","Boro Zone"
[2024-05-18T14:59:04.440+0000] {subprocess.py:93} INFO - 9,"Queens","Auburndale","Boro Zone"
[2024-05-18T14:59:04.441+0000] {subprocess.py:93} INFO - 10,"Queens","Baisley Park","Boro Zone"
[2024-05-18T14:59:04.441+0000] {subprocess.py:93} INFO - 11,"Brooklyn","Bath Beach","Boro Zone"
[2024-05-18T14:59:04.441+0000] {subprocess.py:93} INFO - 12,"Manhattan","Battery Park","Yellow Zone"
[2024-05-18T14:59:04.442+0000] {subprocess.py:93} INFO - 13,"Manhattan","Battery Park City","Yellow Zone"
[2024-05-18T14:59:04.442+0000] {subprocess.py:93} INFO - 14,"Brooklyn","Bay Ridge","Boro Zone"
[2024-05-18T14:59:04.442+0000] {subprocess.py:93} INFO - 15,"Queens","Bay Terrace/Fort Totten","Boro Zone"
[2024-05-18T14:59:04.442+0000] {subprocess.py:93} INFO - 16,"Queens","Bayside","Boro Zone"
[2024-05-18T14:59:04.443+0000] {subprocess.py:93} INFO - 17,"Brooklyn","Bedford","Boro Zone"
[2024-05-18T14:59:04.443+0000] {subprocess.py:93} INFO - 18,"Bronx","Bedford Park","Boro Zone"
[2024-05-18T14:59:04.443+0000] {subprocess.py:93} INFO - 19,"Queens","Bellerose","Boro Zone"
[2024-05-18T14:59:04.444+0000] {subprocess.py:93} INFO - 20,"Bronx","Belmont","Boro Zone"
[2024-05-18T14:59:04.444+0000] {subprocess.py:93} INFO - 21,"Brooklyn","Bensonhurst East","Boro Zone"
[2024-05-18T14:59:04.444+0000] {subprocess.py:93} INFO - 22,"Brooklyn","Bensonhurst West","Boro Zone"
[2024-05-18T14:59:04.445+0000] {subprocess.py:93} INFO - 23,"Staten Island","Bloomfield/Emerson Hill","Boro Zone"
[2024-05-18T14:59:04.445+0000] {subprocess.py:93} INFO - 24,"Manhattan","Bloomingdale","Yellow Zone"
[2024-05-18T14:59:04.445+0000] {subprocess.py:93} INFO - 25,"Brooklyn","Boerum Hill","Boro Zone"
[2024-05-18T14:59:04.446+0000] {subprocess.py:93} INFO - 26,"Brooklyn","Borough Park","Boro Zone"
[2024-05-18T14:59:04.446+0000] {subprocess.py:93} INFO - 27,"Queens","Breezy Point/Fort Tilden/Riis Beach","Boro Zone"
[2024-05-18T14:59:04.446+0000] {subprocess.py:93} INFO - 28,"Queens","Briarwood/Jamaica Hills","Boro Zone"
[2024-05-18T14:59:04.447+0000] {subprocess.py:93} INFO - 29,"Brooklyn","Brighton Beach","Boro Zone"
[2024-05-18T14:59:04.447+0000] {subprocess.py:93} INFO - 30,"Queens","Broad Channel","Boro Zone"
[2024-05-18T14:59:04.448+0000] {subprocess.py:93} INFO - 31,"Bronx","Bronx Park","Boro Zone"
[2024-05-18T14:59:04.448+0000] {subprocess.py:93} INFO - 32,"Bronx","Bronxdale","Boro Zone"
[2024-05-18T14:59:04.449+0000] {subprocess.py:93} INFO - 33,"Brooklyn","Brooklyn Heights","Boro Zone"
[2024-05-18T14:59:04.449+0000] {subprocess.py:93} INFO - 34,"Brooklyn","Brooklyn Navy Yard","Boro Zone"
